url,title,price_usd,price_kgs,year,mileage_km,engine,transmission,city,image_url
https://mashina.kg/details/toyota-camry-69eb3d799b97b107685237,Toyota Camry IX (XV80) China Market,33700,2947065,2026,10,2.0 л.,вариатор,Бишкек,https://im.mashina.kg/tachka/images/6/e/7/6e7fbe176d73cd1d498301f8aa098e92_640x480.jpg
https://mashina.kg/details/subaru-outback-6a05fc4d0bcd49424123f1df,Продажа Subaru Outback IV 2010,10200,891990,2010,178000,2.5 л.,вариатор,Бишкек,https://storage.mashina.kg/catalog/images/2026-05-14/10033067/efe0c184dc78a582be2445d3c0437e20_medium.webp
https://mashina.kg/details/toyota-highlander-69f757917bc9b666011841,Toyota Highlander IV (U70),46800,4092660,2026,10,2.0 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/2/a/1/2a136b09372aabba9d1b8eeed5c9bb2b_640x480.jpg
https://mashina.kg/details/hyundai-santa-fe-6a0067b345a8c283585181,Hyundai Santa Fe II,8576,750000,2008,177888,2.0 л.,автомат,Ош,https://im.mashina.kg/tachka/images/6/0/4/604d9b55345dc9d10109e6bfe0f628e6_640x480.jpg
https://mashina.kg/details/hyundai-avante-6a06cd04092aeff4b3b7095a,Продажа Hyundai Avante IV 2009,7204,630000,2009,155000,1.6 л.,автомат,Араван,https://storage.mashina.kg/catalog/images/2026-05-15/10033637/daa5a3e30aac57423735f423f9279b5a_medium.webp
https://mashina.kg/details/hyundai-equus-6a016096635a3850570661,Hyundai Equus I Рестайлинг,30000,2623500,2007,160000,4.5 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/0/1/9/019c9dbccaac6b3f7ccf9b4c8e3f12bc_640x480.jpg
https://mashina.kg/details/kia-k5-6a0592494b54a2a835521664,Продажа Kia K5 II 2020,11800,1031910,2020,290000,2.0 л.,автомат,Ош,https://storage.mashina.kg/catalog/images/2026-05-14/10032570/926207d34903c4edec62818749d773ce_medium.webp
https://mashina.kg/details/mercedesbenz-eklass-69b78ea93cccd699409712,"Mercedes-Benz E-Класс V (W213, S213, C238)",22000,1923900,2019,132000,2.0 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/7/b/3/7b3f784819007c41e4fdea97093eb19a_640x480.jpg
https://mashina.kg/details/ssangyong-rexton-sports-69b792937dd6c804167043,SsangYong Rexton Sports I,14500,1268025,2020,190000,2.2 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/f/2/b/f2b49ef91460e8259f505cdd5b24f56f_640x480.jpg
https://mashina.kg/details/lexus-rx-69da0edf4199c456326749,Lexus RX IV,30000,2623500,2018,125528,3.5 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/0/4/3/043e50db76c2915b0fdb1baf2e70c825_640x480.jpg
